linesOfCode,numberOfNodes,numberOfCauses,numberOfLocations,duration
182,728,30,30,6295
187,748,2,2,2922
187,748,4,4,3011
187,748,6,6,3111
187,748,8,8,3227
187,748,10,10,3327
187,748,12,12,3450
187,748,14,14,3601
187,748,16,16,3799
187,748,18,18,4024
187,748,20,20,4270
187,748,22,22,4597
187,748,24,24,4958
187,748,26,26,5368
187,748,28,28,5862
187,748,30,30,6485
192,768,2,2,3040
192,768,4,4,3136
192,768,6,6,3263
192,768,8,8,3387
192,768,10,10,3490
192,768,12,12,3605
192,768,14,14,3748
192,768,16,16,3967
192,768,18,18,4187
192,768,20,20,4440
192,768,22,22,4751
192,768,24,24,5152
192,768,26,26,5572
192,768,28,28,6061
192,768,30,30,6687
197,788,2,2,3203
197,788,4,4,3303
197,788,6,6,3411
197,788,8,8,3538
197,788,10,10,3657
197,788,12,12,3793
197,788,14,14,3936
197,788,16,16,4134
197,788,18,18,4338
197,788,20,20,4620
197,788,22,22,4922
197,788,24,24,5335
197,788,26,26,5719
197,788,28,28,6234
197,788,30,30,6857
202,808,2,2,3368
202,808,4,4,3450
202,808,6,6,3555
202,808,8,8,3701
202,808,10,10,3812
202,808,12,12,3937
202,808,14,14,4075
202,808,16,16,4296
202,808,18,18,4533
202,808,20,20,4793
202,808,22,22,5119
202,808,24,24,5501
202,808,26,26,5962
202,808,28,28,6419
202,808,30,30,6982
207,828,2,2,3538
207,828,4,4,3627
207,828,6,6,3758
207,828,8,8,3902
207,828,10,10,3971
207,828,12,12,4115
207,828,14,14,4273
207,828,16,16,4491
207,828,18,18,4705
207,828,20,20,4978
207,828,22,22,5295
207,828,24,24,5685
207,828,26,26,6131
207,828,28,28,6642
207,828,30,30,7224
212,848,2,2,3623
212,848,4,4,3767
212,848,6,6,3874
212,848,8,8,3972
212,848,10,10,4070
212,848,12,12,4257
212,848,14,14,4449
212,848,16,16,4638
212,848,18,18,4852
212,848,20,20,5131
212,848,22,22,5450
212,848,24,24,5814
212,848,26,26,6289
212,848,28,28,6836
212,848,30,30,7347
217,868,2,2,3842
217,868,4,4,3942
